iter	Passed	Remaining
409	5919	22955
410	5930	22929
411	5945	22917
412	5967	22932
413	5983	22922
414	5999	22913
415	6010	22884
416	6023	22866
417	6045	22878
418	6057	22856
419	6071	22842
420	6085	22824
421	6094	22790
422	6107	22769
423	6119	22747
424	6135	22737
425	6149	22719
426	6181	22771
427	6190	22736
428	6200	22706
429	6208	22669
430	6236	22702
431	6253	22699
432	6266	22677
433	6363	22962
434	6381	22958
435	6412	23002
436	6420	22963
437	6428	22925
438	6438	22895
439	6448	22862
440	6455	22821
441	6463	22782
442	6476	22762
443	6484	22725
444	6494	22693
445	6502	22657
446	6511	22623
447	6522	22595
448	6530	22559
449	6538	22520
450	6556	22519
451	6569	22498
452	6582	22478
453	6592	22448
454	6605	22429
455	6615	22400
456	6626	22374
457	6635	22341
458	6642	22302
459	6668	22326
460	6681	22305
461	6699	22302
462	6720	22310
463	6737	22302
464	6748	22277
465	6763	22264
466	6777	22249
467	6801	22265
468	6845	22347
469	6868	22359
470	6885	22352
471	6893	22316
472	6903	22286
473	6923	22288
474	6992	22449
475	7006	22433
476	7015	22399
477	7023	22363
478	7033	22334
479	7041	22297
480	7050	22266
481	7075	22283
482	7086	22257
483	7093	22219
484	7101	22184
485	7111	22153
486	7117	22113
487	7124	22073
488	7131	22036
489	7138	21997
490	7145	21959
491	7151	21919
492	7166	21906
493	7172	21866
494	7181	21833
495	7187	21794
496	7197	21766
497	7211	21750
498	7309	21985
499	7344	22032
500	7357	22014
501	7366	21981
502	7378	21960
503	7433	22065
504	7446	22043
505	7455	22011
506	7461	21972
507	7467	21933
508	7474	21895
509	7481	21857
510	7488	21819
511	7506	21816
512	7522	21803
513	7531	21774
514	7551	21775
515	7561	21748
516	7570	21715
517	7580	21687
518	7613	21725
519	7628	21712
520	7639	21686
521	7649	21658
522	7656	21623
523	7665	21592
524	7672	21556
525	7682	21527
526	7688	21491
527	7696	21456
528	7709	21437
529	7727	21432
530	7735	21401
531	7743	21367
532	7752	21336
533	7762	21311
534	7771	21280
535	7780	21250
536	7851	21389
537	7867	21380
538	7875	21347
539	7882	21311
540	7888	21275
541	7897	21243
542	7903	21207
543	7916	21187
544	7926	21162
545	7944	21155
546	7972	21178
547	7988	21166
548	7997	21137
549	8005	21106
550	8013	21074
551	8032	21071
552	8049	21061
553	8060	21038
554	8069	21010
555	8079	20983
556	8091	20963
557	8104	20944
558	8116	20921
559	8157	20976
560	8174	20968
561	8208	21003
562	8244	21044
563	8274	21067
564	8289	21054
565	8302	21036
566	8315	21016
567	8351	21054
568	8372	21056
